# datetime	parameters	loss	accuracy(%)	duration(s)
2015-13-May 15:43:27	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = softmax, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 1.95067	 0.2607	792.62000
2015-13-May 15:43:38	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = softmax, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 1.94688	 0.2592	776.39000
2015-13-May 16:08:31	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = softmax, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 1.95132	 0.2624	1907.90000
2015-13-May 16:44:23	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = rectify, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.58143	 0.7800	3317.75000
2015-13-May 17:15:47	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = rectify, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57366	 0.7842	4702.46000
2015-13-May 17:16:06	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = rectify, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59533	 0.7782	4731.90000
2015-13-May 17:21:17	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = sigmoid, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.69415	 0.7406	5016.10000
2015-13-May 17:21:34	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = sigmoid, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.70691	 0.7347	5006.70000
2015-13-May 17:21:39	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = sigmoid, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.69565	 0.7319	5009.32000
2015-13-May 17:30:06	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = tanh, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = activation, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59761	 0.7714	5546.29000
