# datetime	parameters	loss	accuracy(%)	duration(s)
2015-13-May 17:31:59	auto_stopping = True, dense1_init = sparse, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.60093	 0.7749	5301.59000
2015-13-May 17:32:36	auto_stopping = True, dense1_init = orthogonal, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59714	 0.7722	5329.31000
2015-13-May 17:32:36	auto_stopping = True, dense1_init = he_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59459	 0.7713	5332.97000
2015-13-May 17:32:50	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57651	 0.7823	5350.32000
2015-13-May 17:32:54	auto_stopping = True, dense1_init = sparse, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.62431	 0.7636	5356.31000
2015-13-May 17:32:57	auto_stopping = True, dense1_init = sparse, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.60558	 0.7711	5355.94000
2015-13-May 17:33:00	auto_stopping = True, dense1_init = orthogonal, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57513	 0.7810	5382.03000
2015-13-May 17:33:05	auto_stopping = True, dense1_init = he_normal, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57603	 0.7821	5380.67000
2015-13-May 17:33:06	auto_stopping = True, dense1_init = he_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57829	 0.7787	5392.62000
2015-13-May 17:33:07	auto_stopping = True, dense1_init = he_normal, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = 64, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = initialization, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59417	 0.7713	5388.66000
