# datetime	parameters	loss	accuracy(%)	duration(s)
2015-13-May 16:48:25	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.56520	 0.7901	3438.95000
2015-13-May 16:57:07	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.53725	 0.7981	3959.82000
2015-13-May 17:00:49	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.53601	 0.8022	4195.03000
2015-13-May 18:59:45	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59850	 0.7724	13644.79000
2015-13-May 18:59:47	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.58005	 0.7769	13657.30000
2015-13-May 19:00:17	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.54333	 0.7947	13700.99000
2015-13-May 19:00:28	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.64413	 0.7574	13697.08000
2015-13-May 19:00:29	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.56819	 0.7844	13724.11000
2015-13-May 19:00:31	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57803	 0.7800	13722.17000
2015-13-May 19:00:31	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.68153	 0.7456	13696.46000
2015-13-May 19:00:39	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.62768	 0.7655	13719.98000
2015-13-May 19:00:47	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.67856	 0.7392	13739.79000
2015-13-May 19:00:51	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.54099	 0.7963	13744.89000
2015-13-May 19:00:52	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.69082	 0.7418	13740.54000
2015-13-May 19:00:59	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.0003, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = learning_rate, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.62692	 0.7553	13751.18000
