# datetime	parameters	loss	accuracy(%)	duration(s)
2015-14-May 07:00:38	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57468	 0.7817	13309.97000
2015-14-May 07:00:40	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.99, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57416	 0.7809	13311.79000
2015-14-May 07:00:41	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.1, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57779	 0.7807	13319.51000
2015-14-May 07:00:46	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.1, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.60132	 0.7708	13324.32000
2015-14-May 07:00:47	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59703	 0.7724	13325.62000
2015-14-May 07:00:49	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.999, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57285	 0.7825	13333.97000
2015-14-May 07:00:50	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57291	 0.7814	13330.67000
2015-14-May 07:00:50	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.1, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57974	 0.7796	13332.41000
2015-14-May 07:00:53	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.999, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57556	 0.7809	13338.60000
2015-14-May 07:00:54	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.99, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59671	 0.7735	13333.18000
2015-14-May 07:00:54	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.99, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.57243	 0.7819	13334.43000
2015-14-May 07:00:55	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 256, dense2_size = 128, dense3_size = None, dropout1_rate = 0.5, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.01, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.999, momentum_scaling = 100, name = momentum, normalize_log = True, outlier_frac = None, outlier_method = OCSVM, pretrain = None, save_snapshots_stepsize = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.59751	 0.7722	13336.39000
