# datetime	parameters	loss	accuracy(%)	duration(s)
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.62414	 0.7653	2047.35000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.60407	 0.7744	2038.74000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.60475	 0.7726	2036.80000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.12, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.68006	 0.7548	1928.62000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.12, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.65847	 0.7619	1936.07000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.12, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.66764	 0.7550	1948.20000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.2, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.82785	 0.7312	1755.92000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.2, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.75624	 0.7379	1771.30000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.2, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 0.73056	 0.7443	1775.24000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.5, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 1.38111	 0.6718	1144.94000
2015-13-May 14:57:16	auto_stopping = True, dense1_init = glorot_uniform, dense1_nonlinearity = leaky20, dense1_size = 128, dense2_size = None, dense3_size = None, dropout1_rate = 0, dropout2_rate = None, extra_feature_count = 0, extra_feature_seed = 0, learning_rate = 0.001, learning_rate_scaling = 1000, max_epochs = 1000, momentum = 0.9, momentum_scaling = 100, name = outliers, normalize_log = True, outlier_frac = 0.5, outlier_method = EE, pretrain = None, use_calibration = False, use_rescale_priors = True, weight_decay = 0	 3.48908	 0.6629	961.89000
